,carrier,on-time_arrival_pct.,,,,,,,,,,,,,,,,,,,,,,,,,,
,Endeavor,80.27,,,,,,,,,,6,,,,,,,,,,,,,,,,
,SkyWest  ,79.66,,,,,,,,,,7,,,,,,,,,,,,,,,,
,AirTran  ,79.45,,,,,,,,,,8,,,,,,,,,,,,,,,,
,United ,79.27,,,,,,,,,,9,,,,,,,,,,,,,,,,
,American  ,77.62,,,,,,,,,,10,,,,,,,,,,,,,,,,
,Mesa  ,77.39,,,,,,,,,,11,,,,,,,,,,,,,,,,
,Southwest ,76.7,,,,,,,,,,12,,,,,,,,,,,,,,,,
,JetBlue ,74.44,,,,,,,,,,13,,,,,,,,,,,,,,,,
,Frontier  ,73.08,,,,,,,,,,14,,,,,,,,,,,,,,,,
,ExpressJet  ,72.75,,,,,,,,,,15,,,,,,,,,,,,,,,,
,American Eagle ,72.1,,,,,,,,,,16,,,,,,,,,,,,,,,,
,All Airlines,78.34,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Source: Bureau of Transportation Statistics,,,,,,,,,,,,,,,,
,Hawaiian  ,91.89,,,,,,,,,,,1,,,,,,,,,,,,,,,
,Alaska  ,86.16,,,,,,,,,,,2,,,,,,,,,,,,,,,
,Delta ,83.71,,,,,,,,,,,3,,,,,,,,,,,,,,,
,Virgin America,81.48,,,,,,,,,,,4,,,,,,,,,,,,,,,
,AirTran  ,80.89,,,,,,,,,,,5,,,,,,,,,,,,,,,
,US Airways,80.69,,,,,,,,,,,6,,,,,,,,,,,,,,,
,SkyWest  ,76.35,,,,,,,,,,,7,,,,,,,,,,,,,,,
,United ,75.99,,,,,,,,,,,8,,,,,,,,,,,,,,,
,American  ,75.79,,,,,,,,,,,9,,,,,,,,,,,,,,,
,JetBlue ,75.43,,,,,,,,,,,10,,,,,,,,,,,,,,,
,Frontier  ,74.07,,,,,,,,,,,11,,,,,,,,,,,,,,,
,Southwest ,73.01,,,,,,,,,,,12,,,,,,,,,,,,,,,
,ExpressJet  ,70.75,,,,,,,,,,,13,,,,,,,,,,,,,,,
,Envoy,68.79,,,,,,,,,,,14,,,,,,,,,,,,,,,
,All Airlines,76.25,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Source: Bureau of Transportation Statistics,,,,,,,,,,,,,,,
,Hawaiian,88.4,,,,,,,,,,,,1,,,,,,,,,,,,,,
,Alaska ,86.42,,,,,,,,,,,,2,,,,,,,,,,,,,,
,Delta ,85.89,,,,,,,,,,,,3,,,,,,,,,,,,,,
,Combined American-US Airways,80.06172819479636,,,,,,,,,,,,4,,,,,,,,,,,,,,
,   American  ,80.25741614140256,,,,,,,,,,,,,,,,,,,,,,,,,,
,   US Airways*,79.3468032106283,,,,,,,,,,,,,,,,,,,,,,,,,,
,Virgin America,79.92,,,,,,,,,,,,5,,,,,,,,,,,,,,
,SkyWest ,79.72,,,,,,,,,,,,6,,,,,,,,,,,,,,
,Southwest ,79.71,,,,,,,,,,,,7,,,,,,,,,,,,,,
,United ,78.15,,,,,,,,,,,,8,,,,,,,,,,,,,,
,ExpressJet ,77.9,,,,,,,,,,,,9,,,,,,,,,,,,,,
,JetBlue,75.97,,,,,,,,,,,,10,,,,,,,,,,,,,,
,Envoy ,74.07,,,,,,,,,,,,11,,,,,,,,,,,,,,
,Frontier,73.23,,,,,,,,,,,,12,,,,,,,,,,,,,,
,Spirit ,68.98,,,,,,,,,,,,13,,,,,,,,,,,,,,
,All Airlines,79.92,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Source: Bureau of Transportation Statistics,,,,,,,,,,,,,,
,,,,,,,,,,,,,,* US Airways began combined reporting with American in July 2015,,,,,,,,,,,,,,
,Hawaiian  ,91.08,,,,,,,,,,,,,1,,,,,,,,,,,,,
,Alaska  ,87.33,,,,,,,,,,,,,2,,,,,,,,,,,,,
,Delta ,86.48,,,,,,,,,,,,,3,,,,,,,,,,,,,
,SkyWest  ,82.28,,,,,,,,,,,,,4,,,,,,,,,,,,,
,United ,81.71,,,,,,,,,,,,,5,,,,,,,,,,,,,
,Southwest,80.8,,,,,,,,,,,,,6,,,,,,,,,,,,,
,ExpressJet  ,79.81,,,,,,,,,,,,,7,,,,,,,,,,,,,
,American,79.38,,,,,,,,,,,,,8,,,,,,,,,,,,,
,Virgin America,76.21,,,,,,,,,,,,,9,,,,,,,,,,,,,
,Frontier  ,76.02,,,,,,,,,,,,,10,,,,,,,,,,,,,
,JetBlue ,75.01,,,,,,,,,,,,,11,,,,,,,,,,,,,
,Spirit,74.32,,,,,,,,,,,,,12,,,,,,,,,,,,,
,All Airlines,81.42,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Source: Bureau of Transportation Statistics,,,,,,,,,,,,,
,Hawaiian  ,88.22,,,,,,,,,,,,,,1,,,,,,,,,,,,
,Delta ,85.4,,,,,,,,,,,,,,2,,,,,,,,,,,,
,Alaska  ,82.55,,,,,,,,,,,,,,3,,,,,,,,,,,,
,United ,82.06,,,,,,,,,,,,,,4,,,,,,,,,,,,
,American,80.35,,,,,,,,,,,,,,5,,,,,,,,,,,,
,SkyWest  ,80.01,,,,,,,,,,,,,,6,,,,,,,,,,,,
,Southwest,78.66,,,,,,,,,,,,,,7,,,,,,,,,,,,
,Frontier  ,78.34,,,,,,,,,,,,,,8,,,,,,,,,,,,
,ExpressJet  ,77.3,,,,,,,,,,,,,,9,,,,,,,,,,,,
,Spirit,77.09,,,,,,,,,,,,,,10,,,,,,,,,,,,
,JetBlue ,71.35,,,,,,,,,,,,,,11,,,,,,,,,,,,
,Virgin America,70.01,,,,,,,,,,,,,,12,,,,,,,,,,,,
,All Airlines,80.18,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Source: Bureau of Transportation Statistics,,,,,,,,,,,,
,Hawaiian*  ,87.77,,,,,,,,,,,,,,,1,,,,,,,,,,,
,Delta* ,83.16,,,,,,,,,,,,,,,2,,,,,,,,,,,
,Alaska#  ,82.45095247653235,,,,,,,,,,,,,,,3,,,,,,,,,,,
,  Alaska  ,82.66,,,,,,,,,,,,,,,,,,,,,,,,,,
,  Virgin America (1Q only),77.61,,,,,,,,,,,,,,,,,,,,,,,,,,
,Spirit,81.08,,,,,,,,,,,,,,,4,,,,,,,,,,,
,Southwest,79.2,,,,,,,,,,,,,,,5,,,,,,,,,,,
,United *,77.92,,,,,,,,,,,,,,,6,,,,,,,,,,,
,American*,77.38,,,,,,,,,,,,,,,7,,,,,,,,,,,
,Allegiant,76.87,,,,,,,,,,,,,,,8,,,,,,,,,,,
,JetBlue ,70.96,,,,,,,,,,,,,,,9,,,,,,,,,,,
,Frontier  ,69.39,,,,,,,,,,,,,,,10,,,,,,,,,,,
,All Airlines,79.17,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Source: Bureau of Transportation Statistics,,,,,,,,,,,
,,,,,,,,,,,,,,,,,* Includes branded code-share partners,,,,,,,,,,,
,,,,,,,,,,,,,,,,,# Virgin America began combined reporting with Alaska in April 2018,,,,,,,,,,,
,Hawaiian,89.28,,,,,,,,,,,,,,,,1,,,,,,,,,,
,Delta,85.71,,,,,,,,,,,,,,,,2,,,,,,,,,,
,Alaska*,82.15434022571375,,,,,,,,,,,,,,,,3,,,,,,,,,,
,  Alaska  ,82.48135383563707,,,,,,,,,,,,,,,,,,,,,,,,,,
,  Virgin America (1Q only),77.60611205432937,,,,,,,,,,,,,,,,,,,,,,,,,,
,Spirit,81.08,,,,,,,,,,,,,,,,4,,,,,,,,,,
,SkyWest ,79.8,,,,,,,,,,,,,,,,5,,,,,,,,,,
